Domain Code,Domain,Area Code,Area,Item Code (CPC),Item(M49),Flag,Flag Description,Unit,2015,2016,2017,2018,2019,2020,2021,Element,Element Code
TCL,Crops and livestock products,56,Belgium,F1944,Cereals ,A,Official figure ,1000 US$,1905669.96,1839053.52,2059399.64,2137074.79,2125933.12,2227551.56,2814074.71,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F1887,Dairy Products ,A,Official figure ,1000 US$,2865257.06,2952901.81,3724829.44,3812898.25,3525993.46,3580241.65,4123182.65,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F1782,Eggs ,A,Official figure ,1000 US$,173922.67,179137.56,216269.02,224833.99,217617.75,223235.81,234421.07,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,1931503.24,1932610.45,2091315.45,2046253.66,1982581.67,2277432.97,2514101.28,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F1802,Fruit ,A,Official figure ,1000 US$,4279578.82,4260577.22,4555948.5,4547984.22,3880157.15,4273029.05,4218797.6,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F1773,Nuts ,A,Official figure ,1000 US$,638563.83,621460.97,587266.41,599014.65,546767.47,507576.27,530420,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,473275.25,500533.75,555513.58,569836.18,593934.77,675982.53,736658.08,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F2074,Poultry Meat ,A,Official figure ,1000 US$,643285.41,665855.24,735415.85,791553.05,766455.97,735694.99,850886.21,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F1719,Roots and Tubers ,A,Official figure ,1000 US$,491068.76,620256.16,724678.9,760941.95,978983.33,858500.96,934461.65,Import Value,5622
TCL,Crops and livestock products,56,Belgium,F1734,Vegetables ,A,Official figure ,1000 US$,1950627.94,2124163.11,2229410.45,2242205.28,2133926.53,2374823.98,2498389.33,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F2071,Bovine Meat ,A,Official figure ,1000 US$,7256.65,12725.23,5048.92,3727.19,2455.63,4505.8,9121.41,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F1944,Cereals ,A,Official figure ,1000 US$,966408.58,1104829.74,1039074.31,1210705.18,1493010.21,1320105.86,1948766.59,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F1887,Dairy Products ,A,Official figure ,1000 US$,126327.81,117013.7,122678.04,128825.4,129028.95,130785.7,146454.56,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F1782,Eggs ,A,Official figure ,1000 US$,36885.04,29320.84,43783.47,42272.53,47058.69,49419.95,63479.18,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,235744.31,213154.97,233458.99,294197.69,327690.2,382791.47,469663.58,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F1802,Fruit ,A,Official figure ,1000 US$,151268.01,159664.66,163763.19,187956.58,177884.65,191302.18,228668.9,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F1773,Nuts ,A,Official figure ,1000 US$,36932.08,32748.04,42898.48,40154.3,37548.19,46150.98,46262.01,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,17148.01,20357.92,26236.16,36601.61,38196.78,41488.81,49345.24,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F2074,Poultry Meat ,A,Official figure ,1000 US$,150185.89,179507.94,197402.58,214732.15,164004.12,126010.26,164256.86,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F1719,Roots and Tubers ,A,Official figure ,1000 US$,1615.87,1795.28,1882.83,3674.19,1777.82,1627.75,1656.25,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F1734,Vegetables ,A,Official figure ,1000 US$,113120.14,112183.42,139729.27,164624.67,148341.53,154883.52,191976.17,Export Value,5922
TCL,Crops and livestock products,100,Bulgaria,F2071,Bovine Meat ,A,Official figure ,1000 US$,37869.06,43589.32,36380.54,39958.07,44228.43,39382.21,51820.78,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F1944,Cereals ,A,Official figure ,1000 US$,75072.17,67197.76,134005.85,76378.25,92706.02,105180.77,120230.25,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F1887,Dairy Products ,A,Official figure ,1000 US$,192149.11,202613.26,243979.42,245526.38,252375.93,258827.36,321253.58,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F1782,Eggs ,A,Official figure ,1000 US$,13052.96,11897.78,17760.51,19952.4,14148.71,10565.81,12723.58,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,129882.66,130678.44,130761.55,149390.59,141314.52,160296.66,190639.42,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F1802,Fruit ,A,Official figure ,1000 US$,175796.24,193736.38,205337.33,240097.65,231356.94,259281.96,309790.14,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F1773,Nuts ,A,Official figure ,1000 US$,47990.18,47687.29,59382.55,59915.83,60879.76,70765.31,75931.13,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,212047.43,212937.24,260023.25,272811.98,296789.43,311207.48,305163.64,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F2074,Poultry Meat ,A,Official figure ,1000 US$,115337.23,109471.87,128484.92,134660.29,133169.18,110127.83,126584.15,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F1719,Roots and Tubers ,A,Official figure ,1000 US$,20857.9,24982.12,27371.31,28377.58,35360.82,26333.12,30682.77,Import Value,5622
TCL,Crops and livestock products,100,Bulgaria,F1734,Vegetables ,A,Official figure ,1000 US$,163055.81,165361.33,184296.64,226006.13,231880.78,260337.02,305739.13,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F2071,Bovine Meat ,A,Official figure ,1000 US$,32556.66,42456.63,43623.71,50891.88,61876.23,62604.29,66615.05,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F1944,Cereals ,A,Official figure ,1000 US$,155909.91,166293.12,174947.1,224892.83,234662.58,367378.52,432626.89,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F1887,Dairy Products ,A,Official figure ,1000 US$,47433.99,59032.7,69622.13,82126.28,74667.85,78000.93,84218.25,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F1782,Eggs ,A,Official figure ,1000 US$,2799.31,2989.88,2757.62,4504.2,4610.16,5567.39,5093.54,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,105150.17,91060.96,83400.55,82825.21,73114.52,93499.91,104663.96,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F1802,Fruit ,A,Official figure ,1000 US$,46097.7,58134.07,52234.99,64143.53,58999.66,71869.55,101425.82,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F1773,Nuts ,A,Official figure ,1000 US$,5718.76,5538.68,8401.87,7655.79,8980.69,8404.93,12762.07,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,36685.78,46186.58,47694.2,59313.31,61431.91,70192.89,81771.47,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F2074,Poultry Meat ,A,Official figure ,1000 US$,39969.23,44433.39,44929.31,52225.79,49073.24,43775.55,59367.23,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F1719,Roots and Tubers ,A,Official figure ,1000 US$,3513.02,4156,5610.6,6188.2,6125.35,5025.56,6156.23,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F1734,Vegetables ,A,Official figure ,1000 US$,40027.86,47494.28,54870.01,57996.16,63733.49,96058.2,124471.32,Export Value,5922
TCL,Crops and livestock products,191,Croatia,F2071,Bovine Meat ,A,Official figure ,1000 US$,69180.6,81469.45,96748.42,112108.62,115215.75,100036.31,139573.39,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F1944,Cereals ,A,Official figure ,1000 US$,69362.19,50016.16,66660.17,83985.29,84127.2,82965.64,98166.01,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F1887,Dairy Products ,A,Official figure ,1000 US$,174453.64,193013.73,252207.11,270492.93,280960.66,262184.3,318340.49,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F1782,Eggs ,A,Official figure ,1000 US$,15732.03,13227.5,15589.73,14989.17,13726.31,16216.36,17338.19,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,220434.71,226590.54,243452.82,278898.21,258229.52,280184.49,336152.62,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F1802,Fruit ,A,Official figure ,1000 US$,200148.99,214150.23,232451.28,249538.54,250648.62,250796.23,305319.8,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F1773,Nuts ,A,Official figure ,1000 US$,46397.57,40935.72,44168.58,45989.62,53574.24,53238.27,61283.19,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,221033.57,226778.57,274484.27,271224.19,283237.09,261646.67,263584.4,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F2074,Poultry Meat ,A,Official figure ,1000 US$,65667.61,68348.85,63695.29,86486.89,83072.96,62663.97,88086.5,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F1719,Roots and Tubers ,A,Official figure ,1000 US$,27985.33,32799.6,33677.74,40031.56,45144.64,34646.58,43926.8,Import Value,5622
TCL,Crops and livestock products,191,Croatia,F1734,Vegetables ,A,Official figure ,1000 US$,152313.73,152994.2,161421.14,187593.55,214931.5,213372.98,263177.43,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F2071,Bovine Meat ,A,Official figure ,1000 US$,106.76,86.36,308.71,147.97,316.55,261.12,3065.92,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F1944,Cereals ,A,Official figure ,1000 US$,186.94,115.22,225.86,92.76,174.32,143.69,940.03,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F1887,Dairy Products ,A,Official figure ,1000 US$,122369.96,151786.79,188138.43,241635.13,253546.93,309525.51,312903.85,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F1782,Eggs ,A,Official figure ,1000 US$,42.91,19.37,,,11.26,147.89,205.96,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,7053.88,8252.33,7203.02,11354.61,8757.97,6227.1,5782.24,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F1802,Fruit ,A,Official figure ,1000 US$,47510.54,54524.7,60273.71,55627.95,52142.84,43354.8,45410.89,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F1773,Nuts ,A,Official figure ,1000 US$,1923.57,3236.79,4096.5,3984.36,3650.23,3695,2673.26,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,1130.9,1196.61,816.08,1023.36,2035.34,2356.78,5764.56,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F2074,Poultry Meat ,A,Official figure ,1000 US$,266.11,232.68,547.31,831.99,327.87,673.65,759.98,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F1719,Roots and Tubers ,A,Official figure ,1000 US$,40424.89,52711.84,53866.55,51865.17,53495.63,41878.31,46521.22,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F1734,Vegetables ,A,Official figure ,1000 US$,7152.07,5246.22,5261.27,5621.92,4180.56,2386.4,2486.56,Export Value,5922
TCL,Crops and livestock products,196,Cyprus,F2071,Bovine Meat ,A,Official figure ,1000 US$,18555.06,23713.94,26673.89,27905.03,24473.16,20295.37,25574.84,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F1944,Cereals ,A,Official figure ,1000 US$,109849.87,102106.87,119527.92,125977.78,113984.47,115497.53,179254.35,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F1887,Dairy Products ,A,Official figure ,1000 US$,75942.92,75094.61,86728.54,95533.01,91581.02,88346.75,92304.97,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F1782,Eggs ,A,Official figure ,1000 US$,3150.18,2747.31,3515.68,4672.22,3741.51,2273.71,2896.69,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F1892,Fodder and Feeding Stuff ,A,Official figure ,1000 US$,117548.97,115234.59,123504.22,135674.54,131925.22,142168.01,183031.83,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F1802,Fruit ,A,Official figure ,1000 US$,58949.8,62902.27,67235.95,76309.7,78965.43,75751.48,85873.15,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F1773,Nuts ,A,Official figure ,1000 US$,20707.37,19087.34,20367.65,21548.64,19810.94,20282.15,20941.98,Import Value,5622
TCL,Crops and livestock products,196,Cyprus,F2073,Pigmeat (meat equivalent) ,A,Official figure ,1000 US$,20299.1,20977.4,27681.53,31132.04,30180.09,25128.46,29313.11,Import Value,5622
